"AU","AF","CR","AB","AR","BA","BE","BF","BN","BP","BS","C1","CA","CL","CT","CY","D2","DA","DE","DI","DT","EA","EF","EFF","EI","EM","EP","ER","FU","FX","GA","GP","HO","ID","IS","J9","JI","LA","NR","OA","OI","PA","PD","PG","PI","PM","PN","PT","PU","PY","RI","RP","SC","SE","SI","SN","SO","SP","SU","TC","TI","U1","U2","UT","VL","WC","Z9","DB","AU_UN","AU1_UN","AU_UN_NR","SR_FULL","SR"
"MONTI S;BRAMANTI E;DELLA PORTA V;ONOR M;D'ULIVO A;BARONE V","MONTI, SUSANNA;BRAMANTI, EMILIA;DELLA PORTA, VALENTINA;ONOR, MASSIMO;D'ULIVO, ALESSANDRO;BARONE, VINCENZO","ALMORA-BARRIOS N, 2012, CRYST GROWTH DES, V12, P756, DOI 10.1021/CG201092S;AMI D, 2006, BBA-PROTEINS PROTEOM, V1764, P793, DOI 10.1016/J.BBAPAP.2005.1","THE BINDING OF CHLOROSULPHONATED PARAFFINS TO COLLAGEN TRIPLE HELICES IS STUDIED BY MEANS OF CLASSICAL MOLECULAR DYNAMICS SIMULATIONS AND EXPERIMENTAL","","","","","","14736","","CNR, INST CHEM ORGANOMETALL CPDS, UOS PISA, AREA RIC, I-56124 PISA, ITALY.;  SCUOLA NORMALE SUPER PISA, I-56126 PISA, ITALY.;","","","","","","2021-08-04","","10.1039/c3cp52404c","ARTICLE","","","","1463-9084","SAPEPTIDES@GMAIL.COM; BRAMANTI@PI.ICCOM.CNR.IT","14747","","EUROPEAN PROJECT LIFE+ ""ECOFATTING'' [2010 ENV/IT/364]","THIS WORK HAS BEEN FINANCIALLY SUPPORTED BY THE EUROPEAN PROJECT LIFE+ 2010 ENV/IT/364 ""ECOFATTING''. MANUELA CEMPINI AND ANTONUCCIO CEPPARRONE ARE KI","202EQ","","","PROTEIN SECONDARY STRUCTURE; MAILLARD CROSS-LINKING; MECHANICAL-PROPERTIES; OSTEOGENESIS IMPERFECTA; PRETANNING PROCESSES; AQUEOUS-SOLUTION; GELATIN F","35","PHYS CHEM CHEM PHYS","PHYS. CHEM. CHEM. PHYS.","ENGLISH","98","","D'ULIVO, ALESSANDRO/0000-0001-5847-5170; D'ULIVO, ALESSANDRO/0000-0001-5847-5170; ONOR, MASSIMO/0000-0003-3023-1072; BRAMANTI, EMILIA/0000-0001-8478-7","THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND","","12","CAMBRIDGE","23904010","","J","ROYAL SOC CHEMISTRY","2013","BRAMANTI, EMILIA/AAQ-9425-2021; D'ULIVO, ALESSANDRO/A-7099-2008; D'ULIVO, ALESSANDRO/L-2481-2019; ONOR, MASSIMO/A-4382-2012; BRAMANTI, EMILIA/E-1114-2","MONTI, S (CORRESPONDING AUTHOR), CNR, INST CHEM ORGANOMETALL CPDS, UOS PISA, AREA RIC, VIA G MORUZZI 1, I-56124 PISA, ITALY.","CHEMISTRY; PHYSICS","","","1463-9076","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","","","15","INTERACTION OF COLLAGEN WITH CHLOROSULPHONATED PARAFFIN TANNING AGENTS: FOURIER TRANSFORM INFRARED SPECTROSCOPIC ANALYSIS AND MOLECULAR DYNAMICS SIMUL","0","42","WOS:000323196800022","15","CHEMISTRY, PHYSICAL; PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","15","ISI","INST CHEM ORGANOMETALL CPDS;SCUOLA NORMALE SUPER PISA","INST CHEM ORGANOMETALL CPDS","","MONTI S, 2013, PHYS CHEM CHEM PHYS","MONTI S, 2013, PHYS CHEM CHEM PHYS"
"AIRED L;DOINIKOV AA;BOUAKAZ A","AIRED, LEILA;DOINIKOV, ALEXANDER A.;BOUAKAZ, AYACHE","BECHEL M., FLUID STRUCTURE INTE, P5;BERGEL DH, 1961, J PHYSIOL-LONDON, V156, P458, DOI 10.1113/JPHYSIOL.1961.SP006687;BERGEL DH, 1961, J PHYSIOL-LONDO","THE PURPOSE OF THE PRESENT SIMULATION STUDY IS TO REVEAL HOW CONFINING SURFACES WITH DIFFERENT MECHANICAL PROPERTIES AFFECT THE ACOUSTIC RESPONSE OF A","","","","","","23","","UNIV TOURS, CHU BRETONNEAU, CNRS ERL3106, INSERM,U930, F-37044 TOURS 9, FRANCE.;","","","","","","2021-08-04","CONTRAST AGENT; TARGETED IMAGING; ELASTIC WALL","10.1016/j.ultras.2012.03.008","ARTICLE","","","","","BOUAKAZ@MED.UNIV-TOURS.FR","28","","","","037EU","","","ULTRASOUND CONTRAST AGENTS; ARTERIAL WALL; OSCILLATION; SCATTERING; BUBBLES","1","ULTRASONICS","ULTRASONICS","ENGLISH","25","","BOUAKAZ, AYACHE/0000-0001-5709-7120","PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS","JAN","6","AMSTERDAM","22494471","","J","ELSEVIER SCIENCE BV","2013","BOUAKAZ, AYACHE/G-1757-2013","BOUAKAZ, A (CORRESPONDING AUTHOR), UNIV TOURS, CHU BRETONNEAU, CNRS ERL3106, INSERM,U930, 2 BLVD TONNELLE, F-37044 TOURS 9, FRANCE.","ACOUSTICS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","","","0041-624X","ULTRASONICS","","","9","EFFECT OF AN ELASTIC WALL ON THE DYNAMICS OF AN ENCAPSULATED MICROBUBBLE: A SIMULATION STUDY","0","33","WOS:000311085800003","53","ACOUSTICS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","9","ISI","UNIV TOURS","UNIV TOURS","","AIRED L, 2013, ULTRASONICS","AIRED L, 2013, ULTRASONICS"
"CROKIDAKIS N;ANTENEODO C","CROKIDAKIS, NUNO;ANTENEODO, CELIA","BISWAS S, 2012, PHYSICA A, V391, P3257, DOI 10.1016/J.PHYSA.2012.01.046;BISWAS S, 2011, PHYS REV E, V84, DOI 10.1103/PHYSREVE.84.056106;BLUME M, 1966,","WE ANALYZE THE CRITICAL BEHAVIOR OF A CLASS OF DISCRETE OPINION MODELS IN THE PRESENCE OF DISORDER. WITHIN THIS CLASS, EACH AGENT OPINION TAKES A DISC","061127","","","","","","","PONTIFICIA UNIV CATOLICA RIO DE JANEIRO, DEPT FIS, RIO DE JANEIRO, BRAZIL.;  NAT INST SCI & TECHNOL COMPLEX SYST, RIO DE JANEIRO, BRAZIL.;","","","","","","2021-08-04","","10.1103/PhysRevE.86.061127","ARTICLE","","","","1550-2376","NUNO.CROKIDAKIS@FIS.PUC-RIO.BR; CELIA@FIS.PUC-RIO.BR","","","FAPERJFUNDACAO CARLOS CHAGAS FILHO DE AMPARO A PESQUISA DO ESTADO DO RIO DE JANEIRO (FAPERJ); CAPESCOORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL","THE AUTHORS ARE GRATEFUL TO THADEU PENNA FOR HAVING PROVIDED THE COMPUTATIONAL RESOURCES OF THE GROUP OF COMPLEX SYSTEMS OF THE UNIVERSIDADE FEDERAL F","059KA","","","SPONTANEOUS EMERGENCE; STATISTICAL PHYSICS; PHASE-TRANSITIONS; DYNAMICS; BEHAVIOR; SYSTEMS","6","PHYS REV E","PHYS. REV. E","ENGLISH","32","GREEN SUBMITTED","ANTENEODO, CELIA/0000-0001-9130-2933; ANTENEODO, CELIA/0000-0001-9130-2933; CROKIDAKIS, NUNO/0000-0002-3611-534X","ONE PHYSICS ELLIPSE, COLLEGE PK, MD 20740-3844 USA","DEC 21","6","COLLEGE PK","23367913","1","J","AMER PHYSICAL SOC","2012","ANTENEODO, CELIA/C-7179-2013; CROKIDAKIS, NUNO/C-5385-2013; ANTENEODO, CELIA/B-2021-2009","CROKIDAKIS, N (CORRESPONDING AUTHOR), PONTIFICIA UNIV CATOLICA RIO DE JANEIRO, DEPT FIS, RIO DE JANEIRO, BRAZIL.","PHYSICS","","","1539-3755","PHYSICAL REVIEW E","","","45","ROLE OF CONVICTION IN NONEQUILIBRIUM MODELS OF OPINION FORMATION","0","14","WOS:000312702800003","86","PHYSICS, FLUIDS & PLASMAS; PHYSICS, MATHEMATICAL","45","ISI","PONTIFICIA UNIV CATOLICA RIO DE JANEIRO;NAT INST SCI AND TECHNOL COMPLEX SYST","PONTIFICIA UNIV CATOLICA RIO DE JANEIRO","","CROKIDAKIS N, 2012, PHYS REV E","CROKIDAKIS N, 2012, PHYS REV E"
"FELIX A;BAQUERIZO A;SANTIAGO JM;LOSADA MA","FELIX, A.;BAQUERIZO, A.;SANTIAGO, J. M.;LOSADA, M. A.","ANANDA J, 2009, ECOL ECON, V68, P2535, DOI 10.1016/J.ECOLECON.2009.05.010;AVILA A, 2007, THESIS U GRANADA SPA;BAKUS GJ, 1982, ENVIRON MANAGE, V6, P493","THE METHODOLOGY FOR COASTAL MANAGEMENT PROPOSED IN THIS STUDY TAKES INTO ACCOUNT THE PHYSICAL PROCESSES OF THE COASTAL SYSTEM AND THE STOCHASTIC NATUR","","","","","","252","","UNIV GRANADA, GRP DINAM FLUJOS AMBIENTALES, INST INTERUNIV SISTEMA TIERRA ANDALUCIA, GRANADA 18006, SPAIN.;","","","","","","2021-08-04","STOCHASTIC MULTI-CRITERIA ANALYSIS; INTEGRATED COASTAL ZONE MANAGEMENT; DECISION MAKING UNDER UNCERTAINTY","10.1016/j.jenvman.2012.05.033","ARTICLE","","","","1095-8630","ABAQUERI@UGR.ES","266","","CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT, MEXICO)CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT); REGIONAL GOVERNMENT OF ANDALUSIAJUNTA DE","THE WORK DONE BY THE FIRST AUTHOR WAS FUNDED BY THE CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA (CONACYT, MEXICO). THE RESEARCH OF THE OTHER AUTHORS WAS","038QD","","","DECISION-MAKING; ACCEPTABILITY ANALYSIS; RESOURCE-MANAGEMENT; MULTIPLE CRITERIA; FOREST MANAGEMENT; SUPPORT; PREFERENCES","","J ENVIRON MANAGE","J. ENVIRON. MANAGE.","ENGLISH","46","","SANTIAGO-ZARAGOZA, JUAN M SNT/0000-0003-0703-0280; AZOFRA, ASUNCION BAQUERIZO/0000-0002-3339-0653; LOSADA, MIGUEL A/0000-0002-2071-3134; BAQUERIZO, AS","24-28 OVAL RD, LONDON NW1 7DX, ENGLAND","DEC 15","15","LONDON","22940123","","J","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","2012","SANTIAGO-ZARAGOZA, JUAN M SNT/F-7628-2016; AZOFRA, ASUNCION BAQUERIZO/AAG-6934-2020; LOSADA, MIGUEL A/G-9713-2015; BAQUERIZO, ASUNCION/G-9767-2015","BAQUERIZO, A (CORRESPONDING AUTHOR), UNIV GRANADA, GRP DINAM FLUJOS AMBIENTALES, INST INTERUNIV SISTEMA TIERRA ANDALUCIA, AVDA MEDITERRANEO S-N, GRANA","ENVIRONMENTAL SCIENCES & ECOLOGY","","","0301-4797","JOURNAL OF ENVIRONMENTAL MANAGEMENT","","","34","COASTAL ZONE MANAGEMENT WITH STOCHASTIC MULTI-CRITERIA ANALYSIS","0","31","WOS:000311188300026","112","ENVIRONMENTAL SCIENCES","34","ISI","UNIV GRANADA","UNIV GRANADA","","FELIX A, 2012, J ENVIRON MANAGE","FELIX A, 2012, J ENVIRON MANAGE"
"XIONG F;LIU Y","XIONG, FEI;LIU, YUN","ADAMIC LA, 2000, SCIENCE, V287, DOI 10.1126/SCIENCE.287.5461.2115A;ALBERT R, 2000, PHYS REV LETT, V85, P5234, DOI 10.1103/PHYSREVLETT.85.5234;ALBERT R","BULLETIN BOARD SYSTEMS (BBSS) HAVE DEMONSTRATED THEIR USEFULNESS IN SPREADING INFORMATION. IN BBS FORUMS, A FEW POSTS THAT ADDRESS CURRENTLY POPULAR S","E50912","","","","","","","BEIJING JIAOTONG UNIV, SCH ELECT & INFORMAT ENGN, BEIJING, PEOPLES R CHINA.;  BEIJING JIAOTONG UNIV, KEY LAB COMMUN & INFORMAT SYST, BEIJING MUNICIPAL","","","","","","2021-08-04","","10.1371/journal.pone.0050912","ARTICLE","","","","","LIUYUN@BJTU.EDU.CN","","","STATE NATURAL SCIENCES FUNDNATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) [61172072, 61271308]; BEIJING NATURAL SCIENCE FOUNDATIONBEIJING NATURAL","THIS WORK HAS BEEN SUPPORTED BY THE STATE NATURAL SCIENCES FUND UNDER GRANTS 61172072, 61271308, THE BEIJING NATURAL SCIENCE FOUNDATION UNDER GRANT 41","066QV","","","NETWORKS; DYNAMICS","12","PLOS ONE","PLOS ONE","ENGLISH","33","GREEN PUBLISHED, GOLD, GREEN SUBMITTED","","1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA","DEC 12","7","SAN FRANCISCO","23251401","","J","PUBLIC LIBRARY SCIENCE","2012","","LIU, Y (CORRESPONDING AUTHOR), BEIJING JIAOTONG UNIV, SCH ELECT & INFORMAT ENGN, BEIJING, PEOPLES R CHINA.","SCIENCE & TECHNOLOGY - OTHER TOPICS","","","1932-6203","PLOS ONE","","","5","EMPIRICAL ANALYSIS AND MODELING OF USERS' TOPIC INTERESTS IN ONLINE FORUMS","0","42","WOS:000313236200048","7","MULTIDISCIPLINARY SCIENCES","7","ISI","BEIJING JIAOTONG UNIV;BEIJING JIAOTONG UNIV","BEIJING JIAOTONG UNIV","","XIONG F, 2012, PLOS ONE","XIONG F, 2012, PLOS ONE"
"LYSENKO EA;KULEBYAKINA AI;CHELUSHKIN PS;RUMYANTSEV AM;KRAMARENKO EY;ZEZIN AB","LYSENKO, EVGENY A.;KULEBYAKINA, ALEVTINA I.;CHELUSHKIN, PAVEL S.;RUMYANTSEV, ARTEM M.;KRAMARENKO, ELENA YU.;ZEZIN, ALEXANDER B.","ATTIA ABE, 2011, CURR OPIN COLLOID IN, V16, P182, DOI 10.1016/J.COCIS.2010.10.003;BALLAUFF M, 2007, PROG POLYM SCI, V32, P1135, DOI 10.1016/J.PROGPOLY","POLYMER MICELLES WITH HYDROPHOBIC POLYSTYRENE (PS) CORE AND IONIC AMPHIPHILIC CORONA FROM CHARGED N-ETHYL-4-VINYLPYRIDINIUM BROMIDE (EVP) AND UNCHARGE","","","","","","17108","","MOSCOW MV LOMONOSOV STATE UNIV, DEPT CHEM, CHAIR POLYMER SCI, MOSCOW 119991, RUSSIA.;  NATL RES CTR KURCHATOV INST, MOSCOW 123182, RUSSIA.;  RUSSIAN A","","","","","","2021-08-04","","10.1021/la3026039","ARTICLE","","","","","LYSENKO@GENEBEE.MSU.RU","17117","","RUSSIAN FOUNDATION FOR BASIC RESEARCHRUSSIAN FOUNDATION FOR BASIC RESEARCH (RFBR) [10-03-00392A]","THE AUTHORS EXPRESS THEIR SINCERE GRATITUDE TO PROF. ADI EISENBERG (MCGILL UNIVERSITY, MONTREAL, CANADA) FOR SYNTHESIS OF PS-B-P4VP SAMPLE. THE FINANC","051JK","","","BLOCK-COPOLYMER MICELLES; MONTE-CARLO SIMULATIONS; AQUEOUS-MEDIA; DIBLOCK COPOLYMERS; POLYELECTROLYTE BLOCK; LIGHT-SCATTERING; CREW-CUT; POLYISOBUTYLE","49","LANGMUIR","LANGMUIR","ENGLISH","51","","RUMYANTSEV, ARTEM M./0000-0002-0339-2375; CHELUSHKIN, PAVEL/0000-0001-8922-506X; ZEZIN, ALEKSANDR/0000-0002-6268-1927;","1155 16TH ST, NW, WASHINGTON, DC 20036 USA","DEC 11","10","WASHINGTON","23137284","","J","AMER CHEMICAL SOC","2012","KULEBYAKINA, ALEVTINA/G-9677-2011; RUMYANTSEV, ARTEM M./G-8931-2016; CHELUSHKIN, PAVEL/Q-2779-2016; ZEZIN, ALEKSANDR/D-2638-2015; KRAMARENKO, ELENA/K-","LYSENKO, EA (CORRESPONDING AUTHOR), MOSCOW MV LOMONOSOV STATE UNIV, DEPT CHEM, CHAIR POLYMER SCI, MOSCOW 119991, RUSSIA.","CHEMISTRY; MATERIALS SCIENCE","","","0743-7463","LANGMUIR","","","9","POLYMER MICELLES WITH HYDROPHOBIC CORE AND IONIC AMPHIPHILIC CORONA. 1. STATISTICAL DISTRIBUTION OF CHARGED AND NONPOLAR UNITS IN CORONA","0","59","WOS:000312122300046","28","CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, PHYSICAL; MATERIALS SCIENCE, MULTIDISCIPLINARY","9","ISI","MOSCOW MV LOMONOSOV STATE UNIV;NATL RES CTR KURCHATOV INST;INST MACROMOL CPDS;MOSCOW MV LOMONOSOV STATE UNIV","MOSCOW MV LOMONOSOV STATE UNIV","","LYSENKO EA, 2012, LANGMUIR","LYSENKO EA, 2012, LANGMUIR"
"NOURI N;ZIAEI-RAD S","NOURI, NIMA;ZIAEI-RAD, SAEED","AL-OSTAZ A, 2008, J MATER SCI, V43, P164, DOI 10.1007/S10853-007-2132-6;ALDER BJ, 1957, J CHEM PHYS, V27, P1208, DOI 10.1063/1.1743957;ALDER BJ, 1959,","USING MOLECULAR DYNAMIC (MD) SIMULATION, THE MECHANICAL PROPERTIES OF A BUCKYPAPER/EPOXY COMPOSITE WERE CALCULATED. IN ORDER TO SIMULATE A LARGE MODEL","","","","","","2144","","ISFAHAN UNIV TECHNOL, DEPT MECH ENGN, ESFAHAN 8415683111, IRAN.;","","","","","","2021-08-04","BUCKYPAPER/EPOXY COMPOSITES; MOLECULAR DYNAMICS; GRAPHICAL PROCESSING UNITS (GPU); CARBON NANOTUBES (CNTS); FAILURE BEHAVIOR; ELASTIC MODULUS","10.1166/jctn.2012.2630","ARTICLE","","","","1546-1963","","2154","","","","082DS","","","CARBON NANOTUBES; POLYMERS","12","J COMPUT THEOR NANOS","J. COMPUT. THEOR. NANOSCI.","ENGLISH","26","","NOURI, NIMA/0000-0002-3033-9203","26650 THE OLD RD, STE 208, VALENCIA, CA 91381-0751 USA","DEC","11","VALENCIA","","","J","AMER SCIENTIFIC PUBLISHERS","2012","NOURI, NIMA/G-6350-2010","ZIAEI-RAD, S (CORRESPONDING AUTHOR), ISFAHAN UNIV TECHNOL, DEPT MECH ENGN, ESFAHAN 8415683111, IRAN.","CHEMISTRY; SCIENCE & TECHNOLOGY - OTHER TOPICS; MATERIALS SCIENCE; PHYSICS","","","1546-1955","JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE","","","4","MECHANICAL PROPERTY EVALUATION OF BUCKYPAPER/EPOXY COMPOSITES USING MOLECULAR DYNAMICS SIMULATIONS FULLY IMPLEMENTED ON GRAPHICAL PROCESSING UNITS","1","42","WOS:000314373100024","9","CHEMISTRY, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY; PHYSICS, APPLIED; PHYSICS, CONDENSED MATTER","4","ISI","ISFAHAN UNIV TECHNOL","ISFAHAN UNIV TECHNOL","","NOURI N, 2012, J COMPUT THEOR NANOS","NOURI N, 2012, J COMPUT THEOR NANOS"
"LIU B;HU WN;ZHANG J;SU HS","LIU BO;HU WEI-NA;ZHANG JIE;SU HOU-SHENG","CAI N, 2010, IET CONTROL THEORY A, V4, P646, DOI 10.1049/IET-CTA.2008.0202;JI ZJ, 2010, INT J CONTROL, V83, P371, DOI 10.1080/00207170903171330;JIANG","THIS PAPER INVESTIGATES CONTROLLABILITY OF DISCRETE-TIME MULTI-AGENT SYSTEMS WITH MULTIPLE LEADERS ON FIXED NETWORKS. THE LEADERS ARE PARTICULAR AGENT","","","","","","856","","HUAZHONG UNIV SCI & TECHNOL, EDUC MINIST CHINA, DEPT CONTROL SCI & ENGN, KEY LAB IMAGE PROC & INTELLIGENT CONTROL, WUHAN 430074, PEOPLES R CHINA.;  N","","","","","","2021-08-04","MULTI-AGENT SYSTEMS; FIXED TOPOLOGY; CONTROLLABILITY; CONTROLLABLE MATRIX","10.1088/0253-6102/58/6/12","ARTICLE","","","","1572-9494","HOUSHENGSU@GMAIL.COM","862","","NATIONAL NATURAL SCIENCE FOUNDATION OF CHINANATIONAL NATURAL SCIENCE FOUNDATION OF CHINA (NSFC) [61104140]; FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL","SUPPORTED IN PART BY THE NATIONAL NATURAL SCIENCE FOUNDATION OF CHINA UNDER GRANT NO. 61104140, THE FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERS","058YL","","","FLOCKING; AGENTS; CONSENSUS","6","COMMUN THEOR PHYS","COMMUN. THEOR. PHYS.","ENGLISH","30","","SU, HOUSHENG/0000-0002-7321-2923","TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND","DEC","7","BRISTOL","","","J","IOP PUBLISHING LTD","2012","SU, HOUSHENG/G-4455-2010","SU, HS (CORRESPONDING AUTHOR), HUAZHONG UNIV SCI & TECHNOL, EDUC MINIST CHINA, DEPT CONTROL SCI & ENGN, KEY LAB IMAGE PROC & INTELLIGENT CONTROL, WUHA","PHYSICS","","","0253-6102","COMMUNICATIONS IN THEORETICAL PHYSICS","","","17","CONTROLLABILITY OF DISCRETE-TIME MULTI-AGENT SYSTEMS WITH MULTIPLE LEADERS ON FIXED NETWORKS","0","23","WOS:000312671100012","58","PHYSICS, MULTIDISCIPLINARY","18","ISI","HUAZHONG UNIV SCI AND TECHNOL;N CHINA UNIV TECHNOL","HUAZHONG UNIV SCI AND TECHNOL","","LIU B, 2012, COMMUN THEOR PHYS","LIU B, 2012, COMMUN THEOR PHYS"
"CHAZELLE B","CHAZELLE, BERNARD","AFEK Y, 2011, SCIENCE, V331, P183, DOI 10.1126/SCIENCE.1193210;BONIFACI V., 2012, P 23 ANN ACM SIAM S, P233;CAMAZINE S., 2001, SELF ORG BIOL SYSTEM;CH","ALGORITHMS OFFER A RICH, EXPRESSIVE LANGUAGE FOR MODELERS OF BIOLOGICAL AND SOCIAL SYSTEMS. THEY LAY THE GROUNDS FOR NUMERICAL SIMULATIONS AND, CRUCIA","","","","","","101","","PRINCETON UNIV, DEPT COMP SCI, PRINCETON, NJ 08544 USA.;","","","","","","2021-08-04","","10.1145/2380656.2380679","ARTICLE","","","","1557-7317","CHAZELLE@CS.PRINCETON.EDU","110","","NSFNATIONAL SCIENCE FOUNDATION (NSF) [CCF-0832797, CCF-0963825, CCF-1016250]","I WISH TO THANK ANDREW APPEL, STAN LEIBLER, RONITT RUBINFELD, DAVID WALKER, AND THE ANONYMOUS REFEREE FOR HELPFUL COMMENTS AND SUGGESTIONS. THIS WORK","059ZR","","","POPULATIONS; BEHAVIOR; BIOLOGY","12","COMMUN ACM","COMMUN. ACM","ENGLISH","25","GREEN PUBLISHED","","2 PENN PLAZA, STE 701, NEW YORK, NY 10121-0701 USA","DEC","10","NEW YORK","","","J","ASSOC COMPUTING MACHINERY","2012","","CHAZELLE, B (CORRESPONDING AUTHOR), PRINCETON UNIV, DEPT COMP SCI, PRINCETON, NJ 08544 USA.","COMPUTER SCIENCE","","","0001-0782","COMMUNICATIONS OF THE ACM","","","19","NATURAL ALGORITHMS AND INFLUENCE SYSTEMS","0","6","WOS:000312744900028","55","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, THEORY & METHODS","20","ISI","PRINCETON UNIV","PRINCETON UNIV","","CHAZELLE B, 2012, COMMUN ACM","CHAZELLE B, 2012, COMMUN ACM"
"ORTEGA RA;GIORGIO TD","ORTEGA, RYAN A.;GIORGIO, TODD D.","ARBAB AS, 2005, NMR BIOMED, V18, P553, DOI 10.1002/NBM.991;ARTMANN B., 1999, EUCLID CREATION MATH;BARINOV GI, 2006, PHYS SOLID STATE+, V48, P84, DOI 1","SUPERPARAMAGNETIC IRON OXIDE NANOPARTICLES (SPIONS) EXHIBIT UNIQUE MAGNETIC PROPERTIES THAT MAKE THEM HIGHLY EFFICACIOUS AS MR IMAGING CONTRAST AGENTS","1282","","","","","","","VANDERBILT UNIV, DEPT BIOMED ENGN, VU STN B 351631, STEVENSON CTR 5824, NASHVILLE, TN 37235 USA.;","","","","","","2021-08-04","SUPERPARAMAGNETISM; MAGNETIC NANOPARTICLES; NANOPARTICLE DESIGN TOOL; MAGNETIC CONTRAST AGENTS","10.1007/s11051-012-1282-x","ARTICLE","","","","1572-896X","TODD.D.GIORGIO@VANDERBILT.EDU","","","","","062BN","","","MR CONTRAST AGENTS; MAGHEMITE; SIZE; PARTICLES; RANGE","12","J NANOPART RES","J. NANOPART. RES.","ENGLISH","37","","GIORGIO, TODD/0000-0002-9557-1425","VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","DEC","12","DORDRECHT","","","J","SPRINGER","2012","","GIORGIO, TD (CORRESPONDING AUTHOR), VANDERBILT UNIV, DEPT BIOMED ENGN, VU STN B 351631, STEVENSON CTR 5824, NASHVILLE, TN 37235 USA.","CHEMISTRY; SCIENCE & TECHNOLOGY - OTHER TOPICS; MATERIALS SCIENCE","","","1388-0764","JOURNAL OF NANOPARTICLE RESEARCH","","","13","A MATHEMATICAL MODEL OF SUPERPARAMAGNETIC IRON OXIDE NANOPARTICLE MAGNETIC BEHAVIOR TO GUIDE THE DESIGN OF NOVEL NANOMATERIALS","0","36","WOS:000312894200027","14","CHEMISTRY, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY","13","ISI","VANDERBILT UNIV","VANDERBILT UNIV","","ORTEGA RA, 2012, J NANOPART RES","ORTEGA RA, 2012, J NANOPART RES"
